ActivitySiteID,ActivityDescription,BookingStartTime,MaxBookees,Number_Booked,Price_INR,BookingEndDateTime,DynamicPrice
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-0.535511574,-1.709436143,08-04-2018,-2.26
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-0.219810271,-1.709436143,15-04-2018,-1.69
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-0.325044039,-1.709436143,22-04-2018,-1.88
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-0.851212876,-1.709436143,29-04-2018,-2.26
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-1.061680411,-1.709436143,06-05-2018,-2.26
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-0.745979109,-1.709436143,13-05-2018,-2.26
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-1.061680411,-1.709436143,20-05-2018,-2.26
HXP,20-20-20  2.45pm-3.45pm,14:45:00,-0.475775472,-1.482615481,-1.709436143,27-05-2018,-2.26
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-0.745979109,-1.709436143,04-04-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-0.535511574,-1.709436143,11-04-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-0.851212876,-1.709436143,18-04-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.272147946,-1.709436143,25-04-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.166914178,-1.709436143,02-05-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.272147946,-1.709436143,09-05-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.166914178,-1.709436143,16-05-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.166914178,-1.709436143,23-05-2018,-2.36
TSC,20-20-20 7.00-8.00pm,19:00:00,-0.542045134,-1.061680411,-1.709436143,30-05-2018,-2.36
